date,close,volume
2022-02-16,"4,044.8",5.89M
2022-02-17,"3,772.6",4.48M
2022-02-18,"3,475.4",5.00M
2022-02-21,"3,065.8",10.65M
2022-02-22,"3,154.8",10.24M
2022-02-24,"1,990.0",9.02M
2022-02-25,"1,931.2",5.76M
2022-03-29,"2,020.0",2.59M
2022-03-30,"2,154.0",1.78M
2022-03-31,"2,259.0",1.68M
2022-04-01,"2,325.0",2.15M
2022-04-04,"2,285.0",1.78M
2022-04-05,"2,158.4",1.73M
2022-04-06,"2,070.8",1.40M
2022-04-07,"2,130.0",1.41M
2022-04-08,"2,115.0",626.34K
2022-04-11,"2,097.0",429.68K
2022-04-12,"2,074.0",472.51K
2022-04-13,"2,088.0",244.64K
2022-04-14,"1,945.2",511.34K
2022-04-15,"1,979.6",343.21K
2022-04-18,"1,880.2",419.97K
2022-04-19,"1,857.6",784.35K
2022-04-20,"1,789.8",781.64K
2022-04-21,"1,646.0",970.85K
2022-04-22,"1,692.0",1.14M
2022-04-25,"1,520.8",818.75K
2022-04-26,"1,600.8",981.42K
2022-04-27,"1,748.6",915.37K
2022-04-28,"1,721.0",1.23M
2022-04-29,"1,766.6",395.09K
2022-05-04,"1,699.0",368.60K
2022-05-05,"1,734.4",187.67K
2022-05-06,"1,688.0",200.40K
2022-05-11,"1,677.4",255.65K
2022-05-12,"1,594.0",259.93K
2022-05-13,"1,593.0",121.15K
2022-05-16,"1,638.2",266.04K
2022-05-17,"1,701.0",204.92K
2022-05-18,"1,715.8",321.63K
2022-05-19,"1,705.0",203.90K
2022-05-20,"1,646.0",261.10K
2022-05-23,"1,592.8",199.41K
2022-05-24,"1,590.0",197.07K
2022-05-25,"1,608.0",187.77K
2022-05-26,"1,670.0",461.18K
2022-05-27,"1,644.0",221.09K
2022-05-30,"1,597.6",214.29K
2022-05-31,"1,567.8",152.00K
2022-06-01,"1,586.0",226.67K
2022-06-02,"1,592.0",204.05K
2022-06-03,"1,497.0",1.37M
2022-06-06,"1,399.8",904.10K
2022-06-07,"1,438.0",760.61K
2022-06-08,"1,456.2",370.12K
2022-06-09,"1,401.4",379.50K
2022-06-10,"1,400.8",492.97K
2022-06-14,"1,386.0",324.92K
2022-06-15,"1,390.0",239.64K
2022-06-16,"1,456.2",474.18K
2022-06-17,"1,465.0",454.57K
2022-06-20,"1,560.8",570.14K
2022-06-21,"1,533.8",592.52K
2022-06-22,"1,600.0",331.68K
2022-06-23,"1,662.0",460.81K
2022-06-24,"1,645.0",246.01K
2022-06-27,"1,779.0",523.23K
2022-06-28,"1,750.0",396.26K
2022-06-29,"1,712.0",310.18K
2022-06-30,"1,603.8",490.00K
2022-07-01,"1,596.0",215.29K
2022-07-04,"1,660.0",317.03K
2022-07-05,"1,701.4",358.31K
2022-07-06,"1,655.0",400.94K
2022-07-07,"1,711.0",418.76K
2022-07-08,"1,704.0",262.13K
2022-07-11,"1,678.0",360.34K
2022-07-12,"1,660.6",409.97K
2022-07-13,"1,600.0",239.33K
2022-07-14,"1,613.6",304.54K
2022-07-15,"1,638.6",225.79K
2022-07-18,"1,696.0",436.69K
2022-07-19,"1,672.4",314.10K
2022-07-20,"1,715.4",439.31K
2022-07-21,"1,701.0",216.73K
2022-07-22,"1,800.0",607.01K
2022-07-25,"1,973.0",1.21M
2022-07-26,"2,136.0",2.86M
2022-07-27,"2,072.0",1.81M
2022-07-28,"2,063.0",570.96K
2022-07-29,"1,952.0",1.29M
2022-08-01,"1,926.2",981.25K
2022-08-02,"1,891.2",643.45K
2022-08-03,"1,956.0",710.25K
2022-08-04,"2,000.0",707.57K
2022-08-05,"1,837.0",1.36M
2022-08-08,"1,933.0",921.07K
2022-08-09,"1,944.4",429.52K
2022-08-10,"1,971.8",393.81K
2022-08-11,"1,915.6",571.32K
2022-08-12,"1,903.0",509.68K
2022-08-15,"1,904.0",350.69K
2022-08-16,"1,935.0",226.93K
2022-08-17,"1,958.0",317.21K
2022-08-18,"1,966.0",208.42K
2022-08-19,"1,936.6",191.73K
2022-08-22,"2,006.0",578.82K
2022-08-23,"2,082.2",757.78K
2022-08-24,"2,085.2",536.35K
2022-08-25,"2,118.8",425.45K
2022-08-26,"2,100.0",310.17K
2022-08-29,"2,105.0",282.67K
2022-08-30,"2,190.0",1.02M
2022-08-31,"2,170.6",695.21K
2022-09-01,"2,178.0",301.05K
2022-09-02,"2,150.0",424.21K
2022-09-05,"2,155.0",211.32K
2022-09-06,"2,070.0",856.70K
2022-09-07,"2,076.0",386.74K
2022-09-08,"2,064.0",304.25K
2022-09-09,"2,093.0",243.67K
2022-09-12,"2,148.6",798.46K
2022-09-13,"2,191.4",787.67K
2022-09-14,"2,167.4",522.54K
2022-09-15,"2,177.6",421.39K
2022-09-16,"2,206.0",781.49K
2022-09-19,"2,230.0",513.65K
2022-09-20,"2,010.0",3.60M
2022-09-21,"1,899.4",2.23M
2022-09-22,"1,916.8",978.68K
2022-09-23,"1,791.8",1.52M
